transaction_id,date,year,sender_state,receiver_state,sender_account,receiver_account,amount_inr,transaction_type,channel,risk_score,flagged
TX0000001,2020-09-24,2020,Rajasthan,Madhya Pradesh,ACC452087,ACC427007,392091.96,Trade Invoice Payment,Hawala Network,0.17,False
TX0000002,2021-11-06,2021,Odisha,Kerala,ACC368689,ACC478934,1987247.48,Remittance,UPI,0.21,False
TX0000003,2021-10-08,2021,Tamil Nadu,Bihar,ACC970519,ACC207093,540954.46,Trade Invoice Payment,Crypto Exchange,0.24,False
TX0000004,2019-10-02,2019,Maharashtra,Kerala,ACC330622,ACC478138,411256.42,Trade Invoice Payment,Cash,0.2,False
TX0000005,2023-06-27,2023,Karnataka,Mizoram,ACC463553,ACC243488,27378.94,Shell Company Transfer,UPI,0.57,False
TX0000006,2023-12-12,2023,Odisha,Odisha,ACC686314,ACC417805,77010.73,Trade Invoice Payment,Hawala Network,0.19,False
TX0000007,2019-01-04,2019,Jammu and Kashmir,Manipur,ACC195763,ACC514478,80955.59,Hawala-linked Transfer,Cash,0.72,True
TX0000008,2020-04-16,2020,Bihar,Bihar,ACC915525,ACC449841,84107.88,Shell Company Transfer,Bank Transfer,0.59,False
TX0000009,2022-05-05,2022,Manipur,Maharashtra,ACC287832,ACC308413,87471.33,Remittance,Hawala Network,0.21,False
TX0000010,2024-01-25,2024,Gujarat,Uttar Pradesh,ACC628262,ACC422784,356619.1,Crypto Off-ramp,Cash,0.74,True
TX0000011,2024-09-19,2024,Andhra Pradesh,Telangana,ACC621704,ACC942660,45306.83,Trade Invoice Payment,UPI,0.16,False
TX0000012,2023-04-19,2023,Maharashtra,West Bengal,ACC778468,ACC938778,350233.86,Remittance,Hawala Network,0.18,False
TX0000013,2023-06-15,2023,Andhra Pradesh,Maharashtra,ACC308458,ACC896206,10472.74,Crypto Off-ramp,UPI,0.69,True
TX0000014,2023-11-23,2023,Mizoram,Karnataka,ACC850268,ACC633619,342781.05,Trade Invoice Payment,UPI,0.29,False
TX0000015,2019-01-17,2019,Bihar,Karnataka,ACC625264,ACC891644,44520.46,Trade Invoice Payment,Cash,0.3,False
TX0000016,2023-04-08,2023,Kerala,Delhi,ACC559528,ACC809474,63159.05,Trade Invoice Payment,Bank Transfer,0.13,False
TX0000017,2023-08-08,2023,Uttar Pradesh,Odisha,ACC626898,ACC864207,109671.68,Shell Company Transfer,UPI,0.64,False
TX0000018,2020-08-20,2020,Gujarat,Madhya Pradesh,ACC613414,ACC405520,111248.95,Remittance,Cash,0.12,False
TX0000019,2019-06-06,2019,West Bengal,Madhya Pradesh,ACC746236,ACC886374,24140.47,Cash Deposit,Crypto Exchange,0.23,False
TX0000020,2024-09-23,2024,Odisha,Manipur,ACC563706,ACC617547,111493.48,Remittance,Bank Transfer,0.19,False
TX0000021,2022-06-21,2022,Tamil Nadu,Maharashtra,ACC608455,ACC441978,110998.17,Hawala-linked Transfer,Crypto Exchange,0.58,False
TX0000022,2021-01-13,2021,Uttar Pradesh,Jammu and Kashmir,ACC939098,ACC863111,18984.71,Remittance,UPI,0.12,False
TX0000023,2019-05-26,2019,Uttar Pradesh,Uttar Pradesh,ACC324123,ACC376493,583529.43,Cash Deposit,Cash,0.01,False
TX0000024,2021-10-09,2021,Gujarat,Delhi,ACC311730,ACC742830,48543.55,Trade Invoice Payment,Crypto Exchange,0.22,False
TX0000025,2018-07-11,2018,Manipur,Tamil Nadu,ACC318330,ACC180889,285733.4,Hawala-linked Transfer,Crypto Exchange,0.71,True
TX0000026,2023-03-19,2023,Assam,Punjab,ACC734983,ACC504753,1230158.25,Hawala-linked Transfer,Crypto Exchange,0.68,True
TX0000027,2024-02-07,2024,Andhra Pradesh,Haryana,ACC144242,ACC145746,27460.26,Shell Company Transfer,UPI,0.56,False
TX0000028,2021-10-03,2021,Kerala,Kerala,ACC447328,ACC731612,33175.12,Trade Invoice Payment,Cash,0.02,False
TX0000029,2019-09-20,2019,Odisha,Manipur,ACC986462,ACC769772,237765.31,Remittance,Bank Transfer,0.28,False
TX0000030,2023-12-01,2023,Karnataka,Madhya Pradesh,ACC410071,ACC593217,121909.96,Remittance,UPI,0.26,False
TX0000031,2023-05-11,2023,Odisha,Rajasthan,ACC555147,ACC750692,90571.98,Trade Invoice Payment,Hawala Network,0.24,False
TX0000032,2022-09-10,2022,Mizoram,Manipur,ACC434793,ACC814293,136373.34,Cash Deposit,UPI,0.18,False
TX0000033,2018-03-06,2018,Delhi,Bihar,ACC951563,ACC229597,315193.12,Trade Invoice Payment,Bank Transfer,0.12,False
TX0000034,2024-09-23,2024,Tamil Nadu,Mizoram,ACC418220,ACC213433,232124.26,Trade Invoice Payment,Crypto Exchange,0.27,False
TX0000035,2024-11-06,2024,Uttar Pradesh,Tamil Nadu,ACC518888,ACC932165,2490425.16,Hawala-linked Transfer,Bank Transfer,0.92,True
TX0000036,2020-06-12,2020,Jammu and Kashmir,Rajasthan,ACC809698,ACC235676,24900.79,Crypto Off-ramp,UPI,0.58,False
TX0000037,2020-05-05,2020,Gujarat,Bihar,ACC723997,ACC565922,232295.9,Remittance,Cash,0.15,False
TX0000038,2018-10-16,2018,Manipur,Telangana,ACC804153,ACC452179,124040.33,Cash Deposit,Bank Transfer,0.18,False
TX0000039,2020-10-16,2020,Rajasthan,Kerala,ACC358715,ACC892968,18604.92,Trade Invoice Payment,UPI,0.16,False
TX0000040,2018-02-07,2018,Tamil Nadu,Odisha,ACC966233,ACC486895,625093.12,Trade Invoice Payment,Crypto Exchange,0.14,False
TX0000041,2021-02-02,2021,Jammu and Kashmir,Manipur,ACC121300,ACC894055,132808.35,Trade Invoice Payment,Hawala Network,0.23,False
TX0000042,2023-03-18,2023,Tamil Nadu,Mizoram,ACC992428,ACC246886,18491.59,Hawala-linked Transfer,Crypto Exchange,0.73,True
TX0000043,2022-08-04,2022,Maharashtra,Assam,ACC367266,ACC434829,8105.83,Remittance,Crypto Exchange,0.17,False
TX0000044,2021-02-07,2021,Bihar,Rajasthan,ACC254183,ACC441332,22957.55,Crypto Off-ramp,UPI,0.7,True
TX0000045,2019-04-18,2019,Bihar,Kerala,ACC850832,ACC342869,90651.59,Remittance,Crypto Exchange,0.21,False
TX0000046,2018-10-06,2018,West Bengal,Madhya Pradesh,ACC814585,ACC557816,21819.16,Hawala-linked Transfer,Hawala Network,0.71,True
TX0000047,2020-10-09,2020,Tamil Nadu,Punjab,ACC697000,ACC207698,114886.15,Trade Invoice Payment,Bank Transfer,0.12,False
TX0000048,2019-05-15,2019,Madhya Pradesh,Rajasthan,ACC473858,ACC815128,182876.15,Hawala-linked Transfer,Cash,0.69,True
TX0000049,2018-02-11,2018,Rajasthan,Manipur,ACC317763,ACC921088,206075.61,Cash Deposit,Cash,0.18,False
TX0000050,2020-08-02,2020,Bihar,Delhi,ACC179097,ACC129341,2347508.1,Cash Deposit,Bank Transfer,0.37,False
TX0000051,2020-07-01,2020,Andhra Pradesh,Karnataka,ACC263038,ACC913058,172178.69,Trade Invoice Payment,Cash,0.1,False
TX0000052,2022-10-20,2022,Uttar Pradesh,Gujarat,ACC859982,ACC188034,391637.59,Hawala-linked Transfer,Bank Transfer,0.71,True
TX0000053,2019-06-09,2019,Madhya Pradesh,West Bengal,ACC907701,ACC268830,12089.77,Trade Invoice Payment,Cash,0.27,False
TX0000054,2021-01-11,2021,Rajasthan,Manipur,ACC270212,ACC804838,134651.28,Trade Invoice Payment,Cash,0.11,False
TX0000055,2020-04-16,2020,Rajasthan,Telangana,ACC440133,ACC543843,84603.49,Shell Company Transfer,Bank Transfer,0.74,True
TX0000056,2019-11-21,2019,Punjab,Delhi,ACC762541,ACC321822,163610.45,Remittance,Bank Transfer,0.23,False
TX0000057,2023-01-18,2023,Assam,Punjab,ACC621438,ACC430099,423703.62,Cash Deposit,UPI,0.16,False
TX0000058,2021-09-22,2021,Gujarat,West Bengal,ACC569553,ACC187889,117742.59,Remittance,Hawala Network,0.21,False
TX0000059,2024-12-05,2024,West Bengal,Bihar,ACC853187,ACC340704,420977.96,Remittance,Cash,0.26,False
TX0000060,2020-02-07,2020,Andhra Pradesh,Haryana,ACC264104,ACC959775,135742.23,Trade Invoice Payment,Crypto Exchange,0.3,False
TX0000061,2018-05-04,2018,Madhya Pradesh,Maharashtra,ACC988544,ACC911323,32930.25,Cash Deposit,UPI,0.2,False
TX0000062,2020-02-14,2020,Rajasthan,Rajasthan,ACC406951,ACC774194,231101.4,Trade Invoice Payment,Crypto Exchange,0.17,False
TX0000063,2023-02-18,2023,Delhi,Maharashtra,ACC971602,ACC218015,650486.07,Crypto Off-ramp,Bank Transfer,0.73,True
TX0000064,2018-10-22,2018,Delhi,Bihar,ACC331617,ACC623928,215193.97,Remittance,UPI,0.19,False
TX0000065,2021-11-18,2021,Uttar Pradesh,Haryana,ACC795691,ACC514253,661139.07,Shell Company Transfer,Bank Transfer,0.64,False
TX0000066,2018-09-20,2018,Karnataka,Tamil Nadu,ACC371375,ACC890824,135552.73,Hawala-linked Transfer,Crypto Exchange,0.66,True
TX0000067,2022-11-19,2022,West Bengal,Kerala,ACC731871,ACC705753,314116.13,Trade Invoice Payment,Hawala Network,0.12,False
TX0000068,2018-05-21,2018,Haryana,Bihar,ACC336033,ACC301131,21296.81,Crypto Off-ramp,UPI,0.67,True
TX0000069,2024-11-24,2024,West Bengal,Bihar,ACC337028,ACC285570,412578.45,Trade Invoice Payment,Crypto Exchange,0.28,False
